Caching material files...
DDS only:8: textures/editor/shadow_caulk
DDS only:18: models/props/misc/rope_d
DDS only:19: models/weapons/shortbow/shortbow_local
DDS only:28: textures/darkmod/nature/grass01
DDS only:29: textures/darkmod/nature/grass01_local
DDS only:36: models/props/misc/lightgemsurface_d
DDS only:44: models/darkmod/props/textures/anchor_d
DDS only:45: models/darkmod/props/textures/anchor_n
DDS only:46: models/darkmod/props/textures/anchor_s
DDS only:56: models/darkmod/props/textures/anchor_d
DDS only:65: models/darkmod/props/textures/cart_d
DDS only:66: models/darkmod/props/textures/cart1_local
DDS only:68: models/darkmod/props/textures/cart_s
DDS only:78: models/darkmod/props/textures/cart_d
DDS only:87: models/darkmod/props/textures/marketstall_d
DDS only:88: models/darkmod/props/textures/marketstall_local
DDS only:89: models/darkmod/props/textures/marketstall_s
DDS only:99: models/darkmod/props/textures/marketstall_d
DDS only:108: models/darkmod/props/textures/wheelbarrow_d
DDS only:109: models/darkmod/props/textures/wheelbarrow_local
DDS only:111: models/darkmod/props/textures/wheelbarrow_s
DDS only:121: models/darkmod/props/textures/wheelbarrow_d
DDS only:130: models/darkmod/props/textures/well
DDS only:131: models/darkmod/props/textures/well_local
DDS only:141: models/darkmod/props/textures/well
DDS only:150: models/darkmod/props/textures/well
DDS only:151: models/darkmod/props/textures/well_local
DDS only:161: models/darkmod/props/textures/well
DDS only:170: models/darkmod/props/textures/well
DDS only:171: models/darkmod/props/textures/well_local
DDS only:181: models/darkmod/props/textures/well
DDS only:191: models/darkmod/props/textures/dice
DDS only:192: models/darkmod/props/textures/dice_local
DDS only:193: models/darkmod/props/textures/dice_s
DDS only:203: models/darkmod/props/textures/dice

materials/misc.mtr
DDS only:214: models/darkmod/props/textures/bell01_d
DDS only:215: models/darkmod/props/textures/bell01_local
DDS only:216: models/darkmod/props/textures/bell01_s
DDS only:226: models/darkmod/props/textures/bell01_d
DDS only:237: models/darkmod/props/textures/bell01_old_d
DDS only:238: models/darkmod/props/textures/bell01_local
DDS only:239: models/darkmod/props/textures/bell01_old_s
DDS only:249: models/darkmod/props/textures/bell01_d
DDS only:259: textures/darkmod/nature/straw01
DDS only:260: textures/darkmod/nature/straw01
DDS only:261: textures/darkmod/nature/straw01_local
DDS only:272: textures/darkmod/nature/straw01
DDS only:282: models/darkmod/props/textures/inkwell
DDS only:283: models/darkmod/props/textures/inkwell_s
DDS only:293: models/darkmod/props/textures/inkwell
DDS only:304: models/darkmod/props/textures/generic_pine_wood_d
DDS only:305: models/darkmod/props/textures/generic_pine_wood_local
DDS only:316: models/darkmod/props/textures/generic_pine_wood_d
DDS only:326: models/darkmod/props/textures/generic_rough_wood_d
DDS only:327: models/darkmod/props/textures/generic_rough_wood_local
DDS only:338: models/darkmod/props/textures/generic_rough_wood_d
DDS only:10: models/darkmod/props/textures/dtable1_d
DDS only:11: models/darkmod/props/textures/dtable1_local
DDS only:12: models/darkmod/props/textures/dtable1_s
DDS only:22: models/darkmod/props/textures/dtable1_d
DDS only:32: models/darkmod/props/textures/endtable1_d
DDS only:33: models/darkmod/props/textures/endtable1_local
DDS only:34: models/darkmod/props/textures/endtable1_s
DDS only:44: models/darkmod/props/textures/endtable1_d
DDS only:55: models/darkmod/props/textures/rtable1_d
DDS only:56: models/darkmod/props/textures/rtable1_local
DDS only:66: models/darkmod/props/textures/rtable1_d
DDS only:77: models/darkmod/props/textures/table_medallion
DDS only:78: models/darkmod/props/textures/table_medallion_s
DDS only:88: models/darkmod/props/textures/table_medallion
DDS only:97: models/darkmod/props/textures/rtable2
DDS only:98: models/darkmod/props/textures/rtable1_local
DDS only:108: models/darkmod/props/textures/rtable2
DDS only:119: models/darkmod/props/textures/rtable2_top
DDS only:129: models/darkmod/props/textures/rtable2_top
DDS only:147: models/darkmod/props/textures/wtable1_d
DDS only:148: models/darkmod/props/textures/wtable1_local
DDS only:158: models/darkmod/props/textures/wtable1_d
DDS only:168: models/darkmod/props/textures/wtable1b_d
DDS only:178: models/darkmod/props/textures/wtable1b_d
DDS only:9: textures/darkmod/metal/floor/grating_001_editor

materials/tdm_metal_floor.mtr
DDS only:10: textures/darkmod/metal/floor/grating_001
DDS only:11: textures/darkmod/metal/floor/grating_001_local
DDS only:12: textures/darkmod/metal/floor/grating_001_s
DDS only:23: textures/darkmod/metal/floor/grating_001
DDS only:34: textures/darkmod/metal/floor/rust_002_ed
DDS only:35: textures/darkmod/metal/floor/rust_002_d
DDS only:36: textures/darkmod/metal/floor/rust_002_local
DDS only:37: textures/darkmod/metal/floor/rust_002_s
DDS only:48: textures/darkmod/metal/floor/rust_002_d
DDS only:60: textures/darkmod/metal/floor/rust_003_ed
DDS only:61: textures/darkmod/metal/floor/rust_003_d
DDS only:62: textures/darkmod/metal/floor/rust_003_local
DDS only:73: textures/darkmod/metal/floor/rust_003_d
DDS only:85: textures/darkmod/metal/floor/rust_004_ed
DDS only:86: textures/darkmod/metal/floor/rust_004_d
DDS only:87: textures/darkmod/metal/floor/rust_004_local
DDS only:98: textures/darkmod/metal/floor/rust_004_d
DDS only:109: textures/darkmod/metal/floor/rust_005_editor
DDS only:110: textures/darkmod/metal/floor/rust_005
DDS only:111: textures/darkmod/metal/floor/rust_005_local
DDS only:112: textures/darkmod/metal/floor/rust_005_s
DDS only:123: textures/darkmod/metal/floor/rust_005
DDS only:133: models/darkmod/props/textures/gold_tiling_d
DDS only:134: models/darkmod/props/textures/gold_tiling_s
DDS only:145: models/darkmod/props/textures/gold_tiling_d
DDS only:9: models/darkmod/props/textures/orchid_d
DDS only:13: models/darkmod/props/textures/orchid_s
DDS only:23: models/darkmod/props/textures/orchid_d
DDS only:34: models/darkmod/props/textures/pot_d
DDS only:35: models/darkmod/props/textures/pot_s
DDS only:36: models/darkmod/props/textures/pot_local
DDS only:46: models/darkmod/props/textures/pot_d
DDS only:57: models/darkmod/props/textures/vase1_d
DDS only:58: models/darkmod/props/textures/vase1_s
DDS only:68: models/darkmod/props/textures/vase1_d
DDS only:79: models/darkmod/props/textures/vase2_d
DDS only:80: models/darkmod/props/textures/vase1_s
DDS only:90: models/darkmod/props/textures/vase2_d
DDS only:101: models/darkmod/props/textures/vase3_d
DDS only:102: models/darkmod/props/textures/vase1_s
DDS only:112: models/darkmod/props/textures/vase3_d
DDS only:123: models/darkmod/props/textures/vase4_d
DDS only:124: models/darkmod/props/textures/vase1_s
DDS only:134: models/darkmod/props/textures/vase4_d
DDS only:145: models/darkmod/props/textures/vase5_d
DDS only:146: models/darkmod/props/textures/vase1_s
DDS only:156: models/darkmod/props/textures/vase5_d
DDS only:167: models/darkmod/props/textures/vaseantique_d
DDS only:168: models/darkmod/props/textures/vaseantique_d
DDS only:169: models/darkmod/props/textures/vaseantique_s
DDS only:170: models/darkmod/props/textures/vaseantique_local
DDS only:180: models/darkmod/props/textures/vaseantique_d
DDS only:191: models/darkmod/props/textures/vaseantique1
DDS only:192: models/darkmod/props/textures/vaseantique1
DDS only:193: models/darkmod/props/textures/vaseantique_s
DDS only:194: models/darkmod/props/textures/vaseantique_local
DDS only:204: models/darkmod/props/textures/vaseantique1
DDS only:215: models/darkmod/props/textures/vaseantique_d
DDS only:216: models/darkmod/props/textures/vaseantique_d
DDS only:217: models/darkmod/props/textures/vaseantique_s
DDS only:218: models/darkmod/props/textures/vaseantique_local
DDS only:228: models/darkmod/props/textures/vaseantique1
DDS only:266: models/darkmod/props/textures/bc_cerpotin
DDS only:276: models/darkmod/props/textures/bc_cerpotin
DDS only:286: models/darkmod/props/textures/bc_cerpotrd
DDS only:296: models/darkmod/props/textures/bc_cerpotrd
DDS only:310: models/darkmod/props/textures/globesphere_d
DDS only:311: models/darkmod/props/textures/globesphere_local
DDS only:321: models/darkmod/props/textures/globesphere_d
DDS only:330: models/darkmod/props/textures/globestand_d
DDS only:331: models/darkmod/props/textures/globestand_local
DDS only:332: models/darkmod/props/textures/globestand_s
DDS only:342: models/darkmod/props/textures/globestand_d
DDS only:355: models/darkmod/props/textures/checkerboard_d
DDS only:356: models/darkmod/props/textures/checkerboard_d
DDS only:358: models/darkmod/props/textures/checkerboard_local
DDS only:368: models/darkmod/props/textures/checkerboard_d
DDS only:377: models/darkmod/props/textures/gamepiece_d
DDS only:378: models/darkmod/props/textures/gamepiece_d
DDS only:389: models/darkmod/props/textures/gamepiece_d
DDS only:398: models/darkmod/props/textures/gamepiece2_d
DDS only:399: models/darkmod/props/textures/gamepiece2_d
DDS only:410: models/darkmod/props/textures/gamepiece2_d
DDS only:10: models/darkmod/props/textures/cookpot_local
DDS only:11: models/darkmod/props/textures/cookpot_d
DDS only:12: models/darkmod/props/textures/cookpot_s
DDS only:22: models/darkmod/props/textures/cookpot_d
DDS only:33: models/darkmod/props/textures/cookpot2_local
DDS only:34: models/darkmod/props/textures/cookpot2_d
DDS only:35: models/darkmod/props/textures/cookpot2_s
DDS only:45: models/darkmod/props/textures/cookpot2_d
DDS only:56: models/darkmod/props/textures/cookpot3_local
DDS only:57: models/darkmod/props/textures/cookpot3_d
DDS only:67: models/darkmod/props/textures/cookpot3_d
DDS only:78: models/darkmod/props/textures/wbottle01_d
DDS only:79: models/darkmod/props/textures/wbottle01_s
DDS only:90: models/darkmod/props/textures/wbottle01_d
DDS only:101: models/darkmod/props/textures/wbottle02_d
DDS only:102: models/darkmod/props/textures/wbottle02_s
DDS only:113: models/darkmod/props/textures/wbottle02_d
DDS only:125: models/darkmod/props/textures/wbottle04_d
DDS only:126: models/darkmod/props/textures/wbottle04_s
DDS only:137: models/darkmod/props/textures/wbottle04_d
DDS only:149: models/darkmod/props/textures/plate2_d
DDS only:150: models/darkmod/props/textures/plate1_s
DDS only:160: models/darkmod/props/textures/plate2_d
DDS only:172: models/darkmod/props/textures/plate3_d
DDS only:173: models/darkmod/props/textures/plate1_s
DDS only:184: models/darkmod/props/textures/plate3_d
DDS only:197: models/darkmod/props/textures/plate3b_d
DDS only:201: models/darkmod/props/textures/plate1_s
DDS only:212: models/darkmod/props/textures/plate3b_d
DDS only:223: models/darkmod/props/textures/sack1_d
DDS only:224: models/darkmod/props/textures/sack1_local
DDS only:234: models/darkmod/props/textures/sack1_d
DDS only:244: models/darkmod/props/textures/sack02_d
DDS only:245: models/darkmod/props/textures/sack03_local
DDS only:255: models/darkmod/props/textures/sack02_d
DDS only:267: models/darkmod/props/textures/goose_d
DDS only:268: models/darkmod/props/textures/goose_local
DDS only:269: models/darkmod/props/textures/goose_s
DDS only:279: models/darkmod/props/textures/goose_d
DDS only:290: models/darkmod/props/textures/cheapbeermug_d
